Title,action
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,0
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,0
138,0
139,1
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,1
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,0
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,0
190,0
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,0
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,1
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,1
281,0
282,0
283,0
284,1
285,1
