Title,action
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,0
77,1
78,0
79,1
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,1
144,0
145,1
146,1
147,0
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,1
200,0
201,0
202,0
203,0
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,0
212,0
213,1
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,0
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,1
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,0
262,0
263,1
264,1
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,0
